œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;81;8;29;True;30.11.2017 21:05:56;;0;;
2;54;10;29;True;30.11.2017 21:06:34;;0;;
3;69;9;32;True;30.11.2017 21:06:35;;0;;
4;96;7;32;True;30.11.2017 21:06:36;;0;;
5;108;6;29;True;30.11.2017 21:06:36;;0;;
6;93;7;26;True;30.11.2017 21:06:36;;0;;
7;66;9;26;True;30.11.2017 21:06:36;;0;;
8;30;12;29;True;30.11.2017 21:06:36;;0;;
9;57;10;35;True;30.11.2017 21:06:36;;0;;
11;132;4;29;True;30.11.2017 21:06:37;;0;;
12;105;6;23;True;30.11.2017 21:06:37;;0;;
13;51;10;23;True;30.11.2017 21:06:37;;0;;
14;18;13;26;True;30.11.2017 21:06:37;;0;;
15;21;13;32;True;30.11.2017 21:06:37;;0;;
16;33;12;35;True;30.11.2017 21:06:37;;0;;
17;72;9;38;True;30.11.2017 21:06:38;;0;;
18;99;7;38;True;30.11.2017 21:06:38;;0;;
19;135;4;35;True;30.11.2017 21:06:38;;0;;
20;144;3;32;True;30.11.2017 21:06:38;;0;;
21;141;3;26;True;30.11.2017 21:06:38;;0;;
22;129;4;23;True;30.11.2017 21:06:38;;0;;
23;90;7;20;True;30.11.2017 21:06:39;;0;;
24;63;9;20;True;30.11.2017 21:06:39;;0;;
25;27;12;23;True;30.11.2017 21:06:39;;0;;
26;7;14;23;True;30.11.2017 21:06:39;;0;;
27;13;14;35;True;30.11.2017 21:06:39;;0;;
28;87;8;41;True;30.11.2017 21:06:39;;0;;
29;155;2;35;True;30.11.2017 21:06:39;;0;;
30;149;2;23;True;30.11.2017 21:06:40;;0;;
31;75;8;17;True;30.11.2017 21:06:40;;0;;
32;10;14;29;True;30.11.2017 21:06:40;;0;;
33;46;11;38;True;30.11.2017 21:06:40;;0;;
