œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;81;8;29;True;07.12.2017 10:39:45;;0;;
2;54;10;29;True;07.12.2017 10:39:47;;0;;
3;69;9;32;True;07.12.2017 10:39:50;;0;;
4;96;7;32;True;07.12.2017 10:39:53;;0;;
5;108;6;29;True;07.12.2017 10:39:56;;0;;
6;93;7;26;True;07.12.2017 10:39:58;;0;;
7;66;9;26;True;07.12.2017 10:40:01;;0;;
8;30;12;29;True;07.12.2017 10:40:03;;0;;
9;57;10;35;True;07.12.2017 10:40:05;;0;;
10;111;6;35;True;07.12.2017 10:40:07;;0;;
11;132;4;29;True;07.12.2017 10:40:09;;0;;
12;105;6;23;True;07.12.2017 10:40:11;;0;;
13;51;10;23;True;07.12.2017 10:40:13;;0;;
14;18;13;26;True;07.12.2017 10:40:15;;0;;
15;21;13;32;True;07.12.2017 10:40:18;;0;;
16;33;12;35;True;07.12.2017 10:40:23;;0;;
17;72;9;38;True;07.12.2017 10:47:17;;0;;
18;99;7;38;True;07.12.2017 10:47:20;;0;;
19;135;4;35;True;07.12.2017 10:47:23;;0;;
20;144;3;32;True;07.12.2017 10:47:26;;0;;
21;141;3;26;True;07.12.2017 10:47:28;;0;;
22;129;4;23;True;07.12.2017 10:47:41;;0;;
23;90;7;20;True;07.12.2017 10:47:44;;0;;
24;63;9;20;True;07.12.2017 10:47:46;;0;;
25;27;12;23;True;07.12.2017 10:47:48;;0;;
26;7;14;23;True;07.12.2017 10:47:51;;0;;
27;13;14;35;True;07.12.2017 10:47:55;;0;;
28;87;8;41;True;07.12.2017 10:47:57;;0;;
29;155;2;35;True;07.12.2017 10:47:59;;0;;
30;149;2;23;True;07.12.2017 10:48:02;;0;;
31;75;8;17;True;07.12.2017 10:48:03;;0;;
32;10;14;29;True;07.12.2017 10:48:05;;0;;
33;46;11;38;True;07.12.2017 10:48:07;;0;;
34;125;5;38;True;07.12.2017 10:48:09;;0;;
35;152;2;29;True;07.12.2017 10:48:11;;0;;
36;116;5;20;True;07.12.2017 10:48:13;;0;;
37;37;11;20;True;07.12.2017 10:48:15;;0;;
38;60;10;41;True;07.12.2017 10:48:17;;0;;
39;114;6;41;True;07.12.2017 10:48:19;;0;;
40;147;3;38;True;07.12.2017 10:48:21;;0;;
41;161;1;32;True;07.12.2017 10:48:23;;0;;
42;158;1;26;True;07.12.2017 10:48:25;;0;;
43;138;3;20;True;07.12.2017 10:48:26;;0;;
44;102;6;17;True;07.12.2017 10:48:28;;0;;
45;48;10;17;True;07.12.2017 10:48:30;;0;;
46;15;13;20;True;07.12.2017 10:48:31;;0;;
47;1;15;26;True;07.12.2017 10:48:33;;0;;
48;24;13;38;True;07.12.2017 10:48:58;;0;;
49;40;11;26;True;07.12.2017 10:49:01;;0;;
50;43;11;32;True;07.12.2017 10:49:22;;0;;
51;84;8;35;True;07.12.2017 10:49:24;;0;;
52;122;5;32;True;07.12.2017 10:49:26;;0;;
53;119;5;26;True;07.12.2017 10:49:28;;0;;
54;78;8;23;True;07.12.2017 10:49:30;;0;;
55;28;12;25;True;07.12.2017 10:49:32;;0;;
56;32;12;33;True;07.12.2017 10:49:34;;0;;
57;85;8;37;True;07.12.2017 10:49:36;;0;;
58;134;4;33;True;07.12.2017 10:49:37;;0;;
59;130;4;25;True;07.12.2017 10:49:39;;0;;
60;77;8;21;True;07.12.2017 10:49:41;;0;;
61;53;10;27;True;07.12.2017 10:49:42;;0;;
62;55;10;31;True;07.12.2017 10:49:44;;0;;
63;83;8;33;True;07.12.2017 10:49:46;;0;;
64;109;6;31;True;07.12.2017 10:49:47;;0;;
65;107;6;27;True;07.12.2017 10:49:49;;0;;
66;79;8;25;True;07.12.2017 10:49:51;;0;;
67;67;9;28;True;07.12.2017 10:49:52;;0;;
68;95;7;30;True;07.12.2017 10:49:54;;0;;
69;68;9;30;True;07.12.2017 10:49:55;;0;;
70;94;7;28;True;07.12.2017 10:49:57;;0;;
