œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;81;8;29;False;01.01.0001 0:00:00;;;;
2;54;10;29;False;01.01.0001 0:00:00;;;;
3;69;9;32;False;01.01.0001 0:00:00;;;;
4;96;7;32;False;01.01.0001 0:00:00;;;;
5;108;6;29;False;01.01.0001 0:00:00;;;;
6;93;7;26;False;01.01.0001 0:00:00;;;;
7;66;9;26;False;01.01.0001 0:00:00;;;;
8;40;11;26;False;01.01.0001 0:00:00;;;;
9;43;11;32;False;01.01.0001 0:00:00;;;;
10;84;8;35;False;01.01.0001 0:00:00;;;;
11;122;5;32;False;01.01.0001 0:00:00;;;;
12;119;5;26;False;01.01.0001 0:00:00;;;;
13;78;8;23;False;01.01.0001 0:00:00;;;;
14;30;12;29;False;01.01.0001 0:00:00;;;;
15;57;10;35;False;01.01.0001 0:00:00;;;;
16;111;6;35;False;01.01.0001 0:00:00;;;;
17;132;4;29;False;01.01.0001 0:00:00;;;;
18;105;6;23;False;01.01.0001 0:00:00;;;;
19;51;10;23;False;01.01.0001 0:00:00;;;;
20;18;13;26;False;01.01.0001 0:00:00;;;;
21;21;13;32;False;01.01.0001 0:00:00;;;;
22;33;12;35;False;01.01.0001 0:00:00;;;;
23;72;9;38;False;01.01.0001 0:00:00;;;;
24;99;7;38;False;01.01.0001 0:00:00;;;;
25;135;4;35;False;01.01.0001 0:00:00;;;;
26;144;3;32;False;01.01.0001 0:00:00;;;;
27;141;3;26;False;01.01.0001 0:00:00;;;;
28;129;4;23;False;01.01.0001 0:00:00;;;;
29;90;7;20;False;01.01.0001 0:00:00;;;;
30;63;9;20;False;01.01.0001 0:00:00;;;;
31;27;12;23;False;01.01.0001 0:00:00;;;;
32;28;12;25;False;01.01.0001 0:00:00;;;;
33;32;12;33;False;01.01.0001 0:00:00;;;;
34;85;8;37;False;01.01.0001 0:00:00;;;;
35;134;4;33;False;01.01.0001 0:00:00;;;;
36;130;4;25;False;01.01.0001 0:00:00;;;;
37;77;8;21;False;01.01.0001 0:00:00;;;;
38;7;14;23;False;01.01.0001 0:00:00;;;;
39;13;14;35;False;01.01.0001 0:00:00;;;;
40;87;8;41;False;01.01.0001 0:00:00;;;;
41;155;2;35;False;01.01.0001 0:00:00;;;;
42;149;2;23;False;01.01.0001 0:00:00;;;;
43;75;8;17;False;01.01.0001 0:00:00;;;;
44;10;14;29;False;01.01.0001 0:00:00;;;;
45;46;11;38;False;01.01.0001 0:00:00;;;;
46;125;5;38;False;01.01.0001 0:00:00;;;;
47;152;2;29;False;01.01.0001 0:00:00;;;;
48;116;5;20;False;01.01.0001 0:00:00;;;;
49;37;11;20;False;01.01.0001 0:00:00;;;;
50;60;10;41;False;01.01.0001 0:00:00;;;;
51;114;6;41;False;01.01.0001 0:00:00;;;;
52;147;3;38;False;01.01.0001 0:00:00;;;;
53;161;1;32;False;01.01.0001 0:00:00;;;;
54;158;1;26;False;01.01.0001 0:00:00;;;;
55;138;3;20;False;01.01.0001 0:00:00;;;;
56;102;6;17;False;01.01.0001 0:00:00;;;;
57;48;10;17;False;01.01.0001 0:00:00;;;;
58;15;13;20;False;01.01.0001 0:00:00;;;;
59;1;15;26;False;01.01.0001 0:00:00;;;;
60;24;13;38;False;01.01.0001 0:00:00;;;;
61;53;10;27;False;01.01.0001 0:00:00;;;;
62;55;10;31;False;01.01.0001 0:00:00;;;;
63;83;8;33;False;01.01.0001 0:00:00;;;;
64;109;6;31;False;01.01.0001 0:00:00;;;;
65;107;6;27;False;01.01.0001 0:00:00;;;;
66;79;8;25;False;01.01.0001 0:00:00;;;;
67;67;9;28;False;01.01.0001 0:00:00;;;;
68;95;7;30;False;01.01.0001 0:00:00;;;;
69;68;9;30;False;01.01.0001 0:00:00;;;;
70;94;7;28;False;01.01.0001 0:00:00;;;;
71;82;8;31;False;01.01.0001 0:00:00;;;;
72;80;8;27;False;01.01.0001 0:00:00;;;;
73;38;11;22;False;01.01.0001 0:00:00;;;;
74;20;13;30;False;01.01.0001 0:00:00;;;;
75;58;10;37;False;01.01.0001 0:00:00;;;;
76;124;5;36;False;01.01.0001 0:00:00;;;;
77;142;3;28;False;01.01.0001 0:00:00;;;;
78;104;6;21;False;01.01.0001 0:00:00;;;;
79;89;7;18;False;01.01.0001 0:00:00;;;;
80;62;9;18;False;01.01.0001 0:00:00;;;;
81;16;13;22;False;01.01.0001 0:00:00;;;;
82;8;14;25;False;01.01.0001 0:00:00;;;;
83;23;13;36;False;01.01.0001 0:00:00;;;;
84;73;9;40;False;01.01.0001 0:00:00;;;;
85;100;7;40;False;01.01.0001 0:00:00;;;;
86;146;3;36;False;01.01.0001 0:00:00;;;;
87;154;2;33;False;01.01.0001 0:00:00;;;;
88;150;2;25;False;01.01.0001 0:00:00;;;;
89;139;3;22;False;01.01.0001 0:00:00;;;;
90;118;5;24;False;01.01.0001 0:00:00;;;;
91;91;7;22;False;01.01.0001 0:00:00;;;;
92;64;9;22;False;01.01.0001 0:00:00;;;;
93;39;11;24;False;01.01.0001 0:00:00;;;;
94;29;12;27;False;01.01.0001 0:00:00;;;;
95;31;12;31;False;01.01.0001 0:00:00;;;;
96;44;11;34;False;01.01.0001 0:00:00;;;;
97;71;9;36;False;01.01.0001 0:00:00;;;;
98;98;7;36;False;01.01.0001 0:00:00;;;;
99;123;5;34;False;01.01.0001 0:00:00;;;;
100;133;4;31;False;01.01.0001 0:00:00;;;;
101;131;4;27;False;01.01.0001 0:00:00;;;;
102;106;6;25;False;01.01.0001 0:00:00;;;;
103;92;7;24;False;01.01.0001 0:00:00;;;;
104;65;9;24;False;01.01.0001 0:00:00;;;;
105;52;10;25;False;01.01.0001 0:00:00;;;;
106;41;11;28;False;01.01.0001 0:00:00;;;;
107;42;11;30;False;01.01.0001 0:00:00;;;;
108;56;10;33;False;01.01.0001 0:00:00;;;;
109;70;9;34;False;01.01.0001 0:00:00;;;;
110;97;7;34;False;01.01.0001 0:00:00;;;;
111;110;6;33;False;01.01.0001 0:00:00;;;;
112;121;5;30;False;01.01.0001 0:00:00;;;;
113;120;5;28;False;01.01.0001 0:00:00;;;;
114;128;4;21;False;01.01.0001 0:00:00;;;;
115;103;6;19;False;01.01.0001 0:00:00;;;;
116;49;10;19;False;01.01.0001 0:00:00;;;;
117;26;12;21;False;01.01.0001 0:00:00;;;;
118;9;14;27;False;01.01.0001 0:00:00;;;;
119;34;12;37;False;01.01.0001 0:00:00;;;;
120;59;10;39;False;01.01.0001 0:00:00;;;;
121;113;6;39;False;01.01.0001 0:00:00;;;;
122;136;4;37;False;01.01.0001 0:00:00;;;;
123;153;2;31;False;01.01.0001 0:00:00;;;;
124;151;2;27;False;01.01.0001 0:00:00;;;;
125;76;8;19;False;01.01.0001 0:00:00;;;;
126;17;13;24;False;01.01.0001 0:00:00;;;;
127;22;13;34;False;01.01.0001 0:00:00;;;;
128;86;8;39;False;01.01.0001 0:00:00;;;;
129;145;3;34;False;01.01.0001 0:00:00;;;;
