œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;02.02.2016 8:50:25;;0;;
2;82;8;31;True;02.02.2016 8:50:25;;0;;
3;67;9;28;True;02.02.2016 8:50:25;;0;;
4;79;8;25;True;02.02.2016 8:50:25;;0;;
5;109;6;31;True;02.02.2016 8:50:25;;0;;
6;55;10;31;True;02.02.2016 8:50:26;;0;;
7;106;6;25;True;02.02.2016 8:50:26;;0;;
8;120;5;28;True;02.02.2016 8:50:26;;0;;
9;97;7;34;True;02.02.2016 8:50:26;;0;;
10;70;9;34;True;02.02.2016 8:50:26;;0;;
11;41;11;28;True;02.02.2016 8:50:26;;0;;
12;52;10;25;True;02.02.2016 8:50:26;;0;;
13;85;8;37;True;02.02.2016 8:50:27;;0;;
14;44;11;34;True;02.02.2016 8:50:27;;0;;
15;31;12;31;True;02.02.2016 8:50:27;;0;;
16;28;12;25;True;02.02.2016 8:50:27;;0;;
17;64;9;22;True;02.02.2016 8:50:27;;0;;
18;91;7;22;True;02.02.2016 8:50:27;;0;;
19;130;4;25;True;02.02.2016 8:50:28;;0;;
20;133;4;31;True;02.02.2016 8:50:28;;0;;
21;123;5;34;True;02.02.2016 8:50:34;;444;ÍÔÛÍÛÍ;
22;76;8;19;True;02.02.2016 8:50:38;;444;;
23;117;5;22;True;02.02.2016 8:50:38;;444;;
24;142;3;28;True;02.02.2016 8:50:38;;444;;
25;145;3;34;True;02.02.2016 8:50:38;;444;;
26;112;6;37;True;02.02.2016 8:50:38;;444;;
27;58;10;37;True;02.02.2016 8:50:38;;444;;
28;22;13;34;True;02.02.2016 8:50:39;;444;;
29;19;13;28;True;02.02.2016 8:50:39;;444;;
30;38;11;22;True;02.02.2016 8:50:39;;444;;
31;103;6;19;True;02.02.2016 8:50:39;;444;;
32;139;3;22;True;02.02.2016 8:50:39;;444;;
33;150;2;25;True;02.02.2016 8:50:39;;444;;
34;153;2;31;True;02.02.2016 8:50:40;;444;;
35;136;4;37;True;02.02.2016 8:50:40;;444;;
36;100;7;40;True;02.02.2016 8:50:40;;444;;
37;73;9;40;True;02.02.2016 8:50:40;;444;;
38;34;12;37;True;02.02.2016 8:50:40;;444;;
39;11;14;31;True;02.02.2016 8:50:40;;444;;
40;8;14;25;True;02.02.2016 8:50:40;;444;;
41;16;13;22;True;02.02.2016 8:50:41;;444;;
42;49;10;19;True;02.02.2016 8:50:41;;444;;
43;88;7;16;True;02.02.2016 8:50:41;;444;;
44;127;4;19;True;02.02.2016 8:50:41;;444;;
45;159;1;28;True;02.02.2016 8:50:41;;444;;
46;162;1;34;True;02.02.2016 8:50:41;;444;;
47;156;2;37;True;02.02.2016 8:50:41;;444;;
48;126;5;40;True;02.02.2016 8:50:42;;444;;
49;47;11;40;True;02.02.2016 8:50:42;;444;;
50;14;14;37;True;02.02.2016 8:50:42;;444;;
51;5;15;34;True;02.02.2016 8:50:42;;444;;
52;2;15;28;True;02.02.2016 8:50:42;;444;;
53;25;12;19;True;02.02.2016 8:50:42;;444;;
54;61;9;16;True;02.02.2016 8:50:43;;444;;
55;81;8;29;True;02.02.2016 8:50:43;;444;;
56;107;6;27;True;02.02.2016 8:50:43;;444;;
57;83;8;33;True;02.02.2016 8:50:43;;444;;
58;53;10;27;True;02.02.2016 8:50:43;;444;;
59;65;9;24;True;02.02.2016 8:50:43;;444;;
60;92;7;24;True;02.02.2016 8:50:43;;444;;
61;121;5;30;True;02.02.2016 8:50:44;;444;;
62;110;6;33;True;02.02.2016 8:50:44;;444;;
63;56;10;33;True;02.02.2016 8:50:44;;444;;
64;42;11;30;True;02.02.2016 8:50:44;;444;;
65;29;12;27;True;02.02.2016 8:50:44;;444;;
66;39;11;24;True;02.02.2016 8:50:44;;444;;
67;77;8;21;True;02.02.2016 8:50:44;;444;;
68;118;5;24;True;02.02.2016 8:50:45;;444;;
69;131;4;27;True;02.02.2016 8:50:45;;444;;
70;134;4;33;True;02.02.2016 8:50:45;;444;;
71;98;7;36;True;02.02.2016 8:50:45;;444;;
72;71;9;36;True;02.02.2016 8:50:45;;444;;
73;32;12;33;True;02.02.2016 8:50:45;;444;;
74;20;13;30;True;02.02.2016 8:50:46;;444;;
75;17;13;24;True;02.02.2016 8:50:46;;444;;
76;50;10;21;True;02.02.2016 8:50:46;;444;;
77;104;6;21;True;02.02.2016 8:50:46;;444;;
78;140;3;24;True;02.02.2016 8:50:46;;444;;
79;143;3;30;True;02.02.2016 8:50:46;;444;;
80;124;5;36;True;02.02.2016 8:50:46;;444;;
81;86;8;39;True;02.02.2016 8:50:47;;444;;
82;45;11;36;True;02.02.2016 8:50:47;;444;;
83;23;13;36;True;02.02.2016 8:50:47;;444;;
84;12;14;33;True;02.02.2016 8:50:47;;444;;
85;9;14;27;True;02.02.2016 8:50:47;;444;;
86;26;12;21;True;02.02.2016 8:50:47;;444;;
87;62;9;18;True;02.02.2016 8:50:47;;444;;
88;89;7;18;True;02.02.2016 8:50:48;;444;;
89;128;4;21;True;02.02.2016 8:50:48;;444;;
90;151;2;27;True;02.02.2016 8:50:48;;444;;
91;154;2;33;True;02.02.2016 8:50:48;;444;;
92;146;3;36;True;02.02.2016 8:50:48;;444;;
93;113;6;39;True;02.02.2016 8:50:48;;444;;
94;59;10;39;True;02.02.2016 8:50:49;;444;;
95;35;12;39;True;02.02.2016 8:50:49;;444;;
96;3;15;30;True;02.02.2016 8:50:49;;444;;
97;36;11;18;True;02.02.2016 8:50:49;;444;;
98;115;5;18;True;02.02.2016 8:50:49;;444;;
99;160;1;30;True;02.02.2016 8:50:49;;444;;
100;137;4;39;True;02.02.2016 8:50:49;;444;;
101;101;7;42;True;02.02.2016 8:50:50;;444;;
102;74;9;42;True;02.02.2016 8:50:50;;444;;
103;0;15;24;True;02.02.2016 8:50:50;;444;;
104;6;14;21;True;02.02.2016 8:50:50;;444;;
105;95;7;30;True;02.02.2016 8:50:50;;444;;
106;68;9;30;True;02.02.2016 8:50:50;;444;;
107;80;8;27;True;02.02.2016 8:50:50;;444;;
108;108;6;29;True;02.02.2016 8:50:51;;444;;
109;96;7;32;True;02.02.2016 8:50:51;;444;;
110;69;9;32;True;02.02.2016 8:50:51;;444;;
111;54;10;29;True;02.02.2016 8:50:51;;444;;
112;66;9;26;True;02.02.2016 8:50:53;;444;;
113;93;7;26;True;02.02.2016 8:51:00;;444;Û‡Û;
114;119;5;26;False;02.02.2016 8:51:04;;0;‚Ô‚‡Ô‚;
115;122;5;32;True;02.02.2016 8:51:39;;0;;
116;84;8;35;True;02.02.2016 8:51:47;;0;Ï‚‡;
117;43;11;32;False;02.02.2016 8:51:52;;0;‚Ûˆ‚;
118;40;11;26;True;02.02.2016 8:53:26;;0;;
119;78;8;23;True;02.02.2016 8:53:35;;0;Ì¯Ì¯;
120;105;6;23;True;02.02.2016 8:53:52;;0;;
121;132;4;29;False;01.01.0001 0:00:00;;0;;
122;111;6;35;False;01.01.0001 0:00:00;;0;;
123;57;10;35;False;01.01.0001 0:00:00;;0;;
124;30;12;29;False;01.01.0001 0:00:00;;0;;
125;51;10;23;False;01.01.0001 0:00:00;;0;;
126;90;7;20;False;01.01.0001 0:00:00;;0;;
127;129;4;23;False;01.01.0001 0:00:00;;0;;
128;141;3;26;False;01.01.0001 0:00:00;;0;;
129;144;3;32;False;01.01.0001 0:00:00;;0;;
130;135;4;35;False;01.01.0001 0:00:00;;0;;
131;99;7;38;False;01.01.0001 0:00:00;;0;;
132;72;9;38;False;01.01.0001 0:00:00;;0;;
133;33;12;35;False;01.01.0001 0:00:00;;0;;
134;21;13;32;False;01.01.0001 0:00:00;;0;;
135;18;13;26;False;01.01.0001 0:00:00;;0;;
136;27;12;23;False;01.01.0001 0:00:00;;0;;
137;63;9;20;False;01.01.0001 0:00:00;;0;;
138;75;8;17;False;01.01.0001 0:00:00;;0;;
139;116;5;20;False;01.01.0001 0:00:00;;0;;
140;149;2;23;False;01.01.0001 0:00:00;;0;;
141;152;2;29;False;01.01.0001 0:00:00;;0;;
142;155;2;35;False;01.01.0001 0:00:00;;0;;
143;125;5;38;False;01.01.0001 0:00:00;;0;;
144;87;8;41;False;01.01.0001 0:00:00;;0;;
145;46;11;38;False;01.01.0001 0:00:00;;0;;
146;13;14;35;False;01.01.0001 0:00:00;;0;;
147;10;14;29;False;01.01.0001 0:00:00;;0;;
148;7;14;23;False;01.01.0001 0:00:00;;0;;
149;37;11;20;False;01.01.0001 0:00:00;;0;;
150;102;6;17;False;01.01.0001 0:00:00;;0;;
151;138;3;20;False;01.01.0001 0:00:00;;0;;
152;158;1;26;False;01.01.0001 0:00:00;;0;;
153;161;1;32;False;01.01.0001 0:00:00;;0;;
154;147;3;38;False;01.01.0001 0:00:00;;0;;
155;114;6;41;False;01.01.0001 0:00:00;;0;;
156;60;10;41;False;01.01.0001 0:00:00;;0;;
157;24;13;38;False;01.01.0001 0:00:00;;0;;
158;4;15;32;False;01.01.0001 0:00:00;;0;;
159;1;15;26;False;01.01.0001 0:00:00;;0;;
160;15;13;20;False;01.01.0001 0:00:00;;0;;
