œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;02.02.2016 10:32:25;;12;;
2;82;8;31;True;02.02.2016 10:32:27;;12;;
3;67;9;28;True;02.02.2016 10:32:27;;12;;
4;79;8;25;True;02.02.2016 10:32:28;;12;;
5;109;6;31;True;02.02.2016 10:32:28;;12;;
6;55;10;31;True;02.02.2016 10:32:29;;12;;
7;106;6;25;True;02.02.2016 10:32:34;;12;‚Ù‚;
8;120;5;28;False;02.02.2016 10:32:37;;0;˚‚˚‚;
9;97;7;34;True;02.02.2016 10:32:40;;12;;
10;70;9;34;True;02.02.2016 10:32:40;;12;;
11;41;11;28;True;02.02.2016 10:32:40;;12;;
12;52;10;25;True;02.02.2016 10:32:41;;12;;
13;85;8;37;True;02.02.2016 10:32:41;;12;;
14;44;11;34;True;02.02.2016 10:32:41;;12;;
15;31;12;31;True;02.02.2016 10:32:41;;12;;
16;28;12;25;True;02.02.2016 10:32:41;;12;;
17;64;9;22;True;02.02.2016 10:32:41;;12;;
18;91;7;22;True;02.02.2016 10:32:41;;12;;
19;130;4;25;True;02.02.2016 10:32:42;;12;;
20;133;4;31;True;02.02.2016 10:32:42;;12;;
21;123;5;34;True;02.02.2016 10:32:42;;12;;
22;76;8;19;True;02.02.2016 10:32:42;;12;;
23;117;5;22;True;02.02.2016 10:32:42;;12;;
24;142;3;28;True;02.02.2016 10:32:42;;12;;
25;145;3;34;True;02.02.2016 10:32:43;;12;;
26;112;6;37;True;02.02.2016 10:32:43;;12;;
27;58;10;37;True;02.02.2016 10:32:43;;12;;
28;22;13;34;True;02.02.2016 10:32:43;;12;;
29;19;13;28;True;02.02.2016 10:32:43;;12;;
30;38;11;22;True;02.02.2016 10:32:43;;12;;
31;103;6;19;True;02.02.2016 10:32:43;;12;;
32;139;3;22;True;02.02.2016 10:32:44;;12;;
33;150;2;25;True;02.02.2016 10:32:44;;12;;
34;153;2;31;True;02.02.2016 10:32:44;;12;;
35;136;4;37;True;02.02.2016 10:32:44;;12;;
36;100;7;40;True;02.02.2016 10:32:44;;12;;
37;73;9;40;True;02.02.2016 10:32:44;;12;;
38;34;12;37;True;02.02.2016 10:32:44;;12;;
39;11;14;31;True;02.02.2016 10:32:45;;12;;
40;8;14;25;True;02.02.2016 10:32:45;;12;;
41;16;13;22;True;02.02.2016 10:32:45;;12;;
42;49;10;19;True;02.02.2016 10:32:45;;12;;
43;88;7;16;True;02.02.2016 10:32:45;;12;;
44;127;4;19;True;02.02.2016 10:32:45;;12;;
45;159;1;28;True;02.02.2016 10:32:46;;12;;
46;162;1;34;True;02.02.2016 10:32:46;;12;;
47;156;2;37;True;02.02.2016 10:32:46;;12;;
48;126;5;40;True;02.02.2016 10:32:46;;12;;
49;47;11;40;True;02.02.2016 10:32:46;;12;;
50;14;14;37;True;02.02.2016 10:32:46;;12;;
51;5;15;34;True;02.02.2016 10:32:46;;12;;
52;2;15;28;True;02.02.2016 10:32:47;;12;;
53;25;12;19;True;02.02.2016 10:32:47;;12;;
54;61;9;16;True;02.02.2016 10:32:47;;12;;
55;81;8;29;True;02.02.2016 10:32:47;;12;;
56;107;6;27;True;02.02.2016 10:32:47;;12;;
57;83;8;33;True;02.02.2016 10:32:47;;12;;
58;53;10;27;True;02.02.2016 10:32:47;;12;;
59;65;9;24;True;02.02.2016 10:32:48;;12;;
60;92;7;24;True;02.02.2016 10:32:48;;12;;
61;121;5;30;True;02.02.2016 10:32:48;;12;;
62;110;6;33;True;02.02.2016 10:32:48;;12;;
63;56;10;33;True;02.02.2016 10:32:48;;12;;
64;42;11;30;True;02.02.2016 10:32:48;;12;;
65;29;12;27;True;02.02.2016 10:32:49;;12;;
66;39;11;24;True;02.02.2016 10:32:49;;12;;
67;77;8;21;True;02.02.2016 10:32:49;;12;;
68;118;5;24;True;02.02.2016 10:32:49;;12;;
69;131;4;27;True;02.02.2016 10:32:49;;12;;
70;134;4;33;True;02.02.2016 10:32:49;;12;;
71;98;7;36;True;02.02.2016 10:32:49;;12;;
72;71;9;36;True;02.02.2016 10:32:50;;12;;
73;32;12;33;True;02.02.2016 10:32:50;;12;;
74;20;13;30;True;02.02.2016 10:32:50;;12;;
75;17;13;24;True;02.02.2016 10:32:50;;12;;
76;50;10;21;True;02.02.2016 10:32:50;;12;;
77;104;6;21;True;02.02.2016 10:32:50;;12;;
