œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
107;80;8;27;True;01.02.2016 14:57:00;;0;;
108;108;6;29;True;01.02.2016 14:57:02;;0;;
109;96;7;32;True;01.02.2016 14:57:07;;0;;
110;69;9;32;True;01.02.2016 14:57:14;;0;;
111;54;10;29;True;01.02.2016 14:57:19;;0;;
112;66;9;26;True;01.02.2016 14:57:21;;0;;
113;93;7;26;True;01.02.2016 14:57:21;;0;;
114;119;5;26;True;01.02.2016 14:57:21;;0;;
115;122;5;32;True;01.02.2016 14:57:21;;0;;
116;84;8;35;True;01.02.2016 14:57:21;;0;;
117;43;11;32;True;01.02.2016 14:57:22;;0;;
118;40;11;26;True;01.02.2016 14:57:22;;0;;
119;78;8;23;True;01.02.2016 14:57:22;;0;;
120;105;6;23;True;01.02.2016 14:57:22;;0;;
121;132;4;29;True;01.02.2016 14:57:22;;0;;
122;111;6;35;True;01.02.2016 14:57:22;;0;;
123;57;10;35;True;01.02.2016 14:57:23;;0;;
124;30;12;29;True;01.02.2016 14:57:23;;0;;
125;51;10;23;True;01.02.2016 14:57:23;;0;;
126;90;7;20;True;01.02.2016 14:57:23;;0;;
127;129;4;23;True;01.02.2016 14:57:23;;0;;
128;141;3;26;True;01.02.2016 14:57:23;;0;;
129;144;3;32;True;01.02.2016 14:57:23;;0;;
130;135;4;35;True;01.02.2016 14:57:24;;0;;
131;99;7;38;True;01.02.2016 14:57:24;;0;;
132;72;9;38;True;01.02.2016 14:57:24;;0;;
133;33;12;35;True;01.02.2016 14:57:24;;0;;
134;21;13;32;True;01.02.2016 14:57:24;;0;;
135;18;13;26;True;01.02.2016 14:57:24;;0;;
136;27;12;23;True;01.02.2016 14:57:24;;0;;
137;63;9;20;True;01.02.2016 14:57:25;;0;;
138;75;8;17;True;01.02.2016 14:57:25;;0;;
139;116;5;20;True;01.02.2016 14:57:25;;0;;
140;149;2;23;True;01.02.2016 14:57:25;;0;;
141;152;2;29;True;01.02.2016 14:57:25;;0;;
142;155;2;35;True;01.02.2016 14:57:25;;0;;
143;125;5;38;True;01.02.2016 14:57:26;;0;;
144;87;8;41;True;01.02.2016 14:57:26;;0;;
145;46;11;38;True;01.02.2016 14:57:26;;0;;
