œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;81;8;29;True;01.02.2016 12:44:35;;23;;
2;54;10;29;True;01.02.2016 12:44:38;;123;;
3;69;9;32;True;01.02.2016 12:44:40;;123;‡‚‡¯‚‡¯Ô¯;
4;96;7;32;True;01.02.2016 12:44:40;;123;;
5;108;6;29;True;01.02.2016 12:44:40;;123;;
6;93;7;26;True;01.02.2016 12:44:40;;123;;
7;66;9;26;True;01.02.2016 12:44:41;;123;;
8;40;11;26;True;01.02.2016 12:44:43;;123;;
9;43;11;32;True;01.02.2016 12:44:49;;123;;
10;84;8;35;True;01.02.2016 12:44:49;;123;;
11;122;5;32;True;01.02.2016 12:44:50;;123;;
12;119;5;26;True;01.02.2016 12:44:50;;123;;
13;78;8;23;True;01.02.2016 12:44:50;;123;;
14;30;12;29;True;01.02.2016 12:44:50;;123;;
15;57;10;35;True;01.02.2016 12:44:50;;123;;
16;111;6;35;True;01.02.2016 12:44:50;;123;;
17;132;4;29;True;01.02.2016 12:44:50;;123;;
18;105;6;23;True;01.02.2016 12:44:51;;123;;
19;51;10;23;True;01.02.2016 12:44:51;;123;;
20;18;13;26;True;01.02.2016 12:44:51;;123;;
21;21;13;32;True;01.02.2016 12:44:51;;123;;
22;33;12;35;True;01.02.2016 12:44:51;;123;;
23;72;9;38;True;01.02.2016 12:44:51;;123;;
24;99;7;38;True;01.02.2016 12:44:51;;123;;
25;135;4;35;True;01.02.2016 12:44:52;;123;;
26;144;3;32;True;01.02.2016 12:44:52;;123;;
27;141;3;26;True;01.02.2016 12:44:52;;123;;
28;129;4;23;True;01.02.2016 12:44:52;;123;;
29;90;7;20;True;01.02.2016 12:44:52;;123;;
30;63;9;20;True;01.02.2016 12:44:52;;123;;
31;27;12;23;True;01.02.2016 12:44:53;;123;;
32;28;12;25;True;01.02.2016 12:44:53;;123;;
33;32;12;33;True;01.02.2016 12:44:53;;123;;
34;85;8;37;True;01.02.2016 12:44:53;;123;;
35;134;4;33;True;01.02.2016 12:44:53;;123;;
36;130;4;25;True;01.02.2016 12:44:53;;123;;
37;77;8;21;True;01.02.2016 12:44:53;;123;;
38;7;14;23;True;01.02.2016 12:44:54;;123;;
39;13;14;35;True;01.02.2016 12:44:54;;123;;
40;87;8;41;True;01.02.2016 12:44:54;;123;;
41;155;2;35;True;01.02.2016 12:44:54;;123;;
42;149;2;23;True;01.02.2016 12:44:54;;123;;
43;75;8;17;True;01.02.2016 12:44:54;;123;;
44;10;14;29;True;01.02.2016 12:44:55;;123;;
45;46;11;38;True;01.02.2016 12:44:55;;123;;
46;125;5;38;True;01.02.2016 12:44:55;;123;;
47;152;2;29;True;01.02.2016 12:44:55;;123;;
48;116;5;20;True;01.02.2016 12:44:55;;123;;
49;37;11;20;True;01.02.2016 12:44:55;;123;;
50;60;10;41;True;01.02.2016 12:44:55;;123;;
51;114;6;41;True;01.02.2016 12:44:56;;123;;
52;147;3;38;True;01.02.2016 12:44:56;;123;;
53;161;1;32;True;01.02.2016 12:44:56;;123;;
54;158;1;26;True;01.02.2016 12:44:56;;123;;
55;138;3;20;True;01.02.2016 12:44:56;;123;;
56;102;6;17;True;01.02.2016 12:44:56;;123;;
57;48;10;17;True;01.02.2016 12:44:56;;123;;
58;15;13;20;True;01.02.2016 12:44:57;;123;;
59;1;15;26;True;01.02.2016 12:44:57;;123;;
60;4;15;32;True;01.02.2016 12:44:57;;123;;
61;24;13;38;True;01.02.2016 12:44:57;;123;;
62;53;10;27;True;01.02.2016 12:44:57;;123;;
63;55;10;31;True;01.02.2016 12:44:57;;123;;
64;83;8;33;True;01.02.2016 12:44:58;;123;;
65;109;6;31;True;01.02.2016 12:44:58;;123;;
66;107;6;27;True;01.02.2016 12:44:58;;123;;
67;79;8;25;True;01.02.2016 12:44:58;;123;;
68;67;9;28;True;01.02.2016 12:44:58;;123;;
69;95;7;30;True;01.02.2016 12:44:58;;123;;
70;68;9;30;True;01.02.2016 12:44:58;;123;;
71;94;7;28;True;01.02.2016 12:44:59;;123;;
72;82;8;31;True;01.02.2016 12:44:59;;123;;
73;80;8;27;True;01.02.2016 12:44:59;;123;;
