œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;03.02.2016 10:50:19;;0;;
2;82;8;31;True;03.02.2016 10:50:19;;0;;
3;67;9;28;True;03.02.2016 10:50:19;;0;;
4;79;8;25;True;03.02.2016 10:50:20;;0;;
5;109;6;31;True;03.02.2016 10:50:20;;0;;
6;55;10;31;True;03.02.2016 10:50:20;;0;;
7;106;6;25;True;03.02.2016 10:50:20;;0;;
8;120;5;28;True;03.02.2016 10:50:20;;0;;
9;97;7;34;True;03.02.2016 10:50:21;;0;;
10;70;9;34;True;03.02.2016 10:50:21;;0;;
11;41;11;28;True;03.02.2016 10:50:21;;0;;
12;52;10;25;True;03.02.2016 10:50:21;;0;;
13;85;8;37;True;03.02.2016 10:50:21;;0;;
14;44;11;34;True;03.02.2016 10:50:21;;0;;
15;31;12;31;True;03.02.2016 10:50:22;;0;;
16;28;12;25;True;03.02.2016 10:50:22;;0;;
17;64;9;22;True;03.02.2016 10:50:22;;0;;
18;91;7;22;True;03.02.2016 10:50:22;;0;;
19;130;4;25;True;03.02.2016 10:50:22;;0;;
20;133;4;31;True;03.02.2016 10:50:23;;0;;
21;123;5;34;True;03.02.2016 10:50:23;;0;;
22;76;8;19;True;03.02.2016 10:50:23;;0;;
23;117;5;22;True;03.02.2016 10:50:24;;0;;
24;142;3;28;True;03.02.2016 10:50:29;;0;;
25;145;3;34;False;03.02.2016 10:50:32;;0;;
26;112;6;37;True;03.02.2016 10:50:34;;0;;
27;58;10;37;True;03.02.2016 10:50:35;;0;;
28;22;13;34;True;03.02.2016 10:50:35;;0;;
29;19;13;28;True;03.02.2016 10:50:35;;0;;
30;38;11;22;True;03.02.2016 10:50:35;;0;;
31;103;6;19;True;03.02.2016 10:50:35;;0;;
32;139;3;22;True;03.02.2016 10:50:35;;0;;
33;150;2;25;True;03.02.2016 10:50:36;;0;;
34;153;2;31;True;03.02.2016 10:50:36;;0;;
35;136;4;37;True;03.02.2016 10:50:36;;0;;
36;100;7;40;True;03.02.2016 10:50:36;;0;;
37;73;9;40;True;03.02.2016 10:50:36;;0;;
38;34;12;37;True;03.02.2016 10:50:37;;0;;
39;11;14;31;True;03.02.2016 10:50:37;;0;;
40;8;14;25;True;03.02.2016 10:50:37;;0;;
41;16;13;22;True;03.02.2016 10:50:37;;0;;
42;49;10;19;True;03.02.2016 10:50:37;;0;;
43;88;7;16;True;03.02.2016 10:50:38;;0;;
44;127;4;19;True;03.02.2016 10:50:38;;0;;
45;159;1;28;True;03.02.2016 10:50:38;;0;;
46;162;1;34;True;03.02.2016 10:50:38;;0;;
47;156;2;37;True;03.02.2016 10:50:38;;0;;
48;126;5;40;True;03.02.2016 10:50:39;;0;;
49;47;11;40;True;03.02.2016 10:50:39;;0;;
50;14;14;37;True;03.02.2016 10:50:39;;0;;
51;5;15;34;True;03.02.2016 10:50:39;;0;;
52;2;15;28;True;03.02.2016 10:50:39;;0;;
53;25;12;19;True;03.02.2016 10:50:39;;0;;
54;61;9;16;True;03.02.2016 10:50:40;;0;;
55;81;8;29;True;03.02.2016 10:50:40;;0;;
56;107;6;27;True;03.02.2016 10:50:40;;0;;
57;83;8;33;True;03.02.2016 10:50:40;;0;;
58;53;10;27;True;03.02.2016 10:50:40;;0;;
59;65;9;24;True;03.02.2016 10:50:41;;0;;
60;92;7;24;True;03.02.2016 10:50:41;;0;;
