œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;02.02.2016 8:35:23;;0;;
2;82;8;31;True;02.02.2016 8:35:23;;0;;
3;67;9;28;True;02.02.2016 8:35:23;;0;;
4;79;8;25;True;02.02.2016 8:35:23;;0;;
5;109;6;31;True;02.02.2016 8:35:23;;0;;
6;55;10;31;True;02.02.2016 8:35:23;;0;;
7;106;6;25;True;02.02.2016 8:35:24;;0;;
8;120;5;28;True;02.02.2016 8:35:24;;0;;
9;97;7;34;True;02.02.2016 8:35:24;;0;;
10;70;9;34;True;02.02.2016 8:35:24;;0;;
11;41;11;28;True;02.02.2016 8:35:24;;0;;
12;52;10;25;True;02.02.2016 8:35:24;;0;;
13;85;8;37;True;02.02.2016 8:35:25;;0;;
14;44;11;34;True;02.02.2016 8:35:25;;0;;
15;31;12;31;True;02.02.2016 8:35:25;;0;;
16;28;12;25;True;02.02.2016 8:35:25;;0;;
17;64;9;22;True;02.02.2016 8:35:25;;0;;
18;91;7;22;True;02.02.2016 8:35:25;;0;;
19;130;4;25;True;02.02.2016 8:35:25;;0;;
20;133;4;31;True;02.02.2016 8:35:26;;0;;
21;123;5;34;True;02.02.2016 8:35:26;;0;;
22;76;8;19;True;02.02.2016 8:35:26;;0;;
23;117;5;22;True;02.02.2016 8:35:26;;0;;
24;142;3;28;True;02.02.2016 8:35:26;;0;;
25;145;3;34;True;02.02.2016 8:35:26;;0;;
26;112;6;37;True;02.02.2016 8:35:26;;0;;
27;58;10;37;True;02.02.2016 8:35:27;;0;;
28;22;13;34;True;02.02.2016 8:35:27;;0;;
29;19;13;28;True;02.02.2016 8:35:27;;0;;
30;38;11;22;True;02.02.2016 8:35:32;;0;‚˚‡‚;
31;103;6;19;False;02.02.2016 8:35:36;;0;˚‚‡˚‚‡;
32;139;3;22;True;02.02.2016 8:35:38;;0;;
33;150;2;25;True;02.02.2016 8:35:38;;0;;
34;153;2;31;True;02.02.2016 8:35:39;;0;;
35;136;4;37;True;02.02.2016 8:35:39;;0;;
36;100;7;40;True;02.02.2016 8:35:39;;0;;
37;73;9;40;True;02.02.2016 8:35:39;;0;;
38;34;12;37;True;02.02.2016 8:35:39;;0;;
39;11;14;31;True;02.02.2016 8:35:39;;0;;
40;8;14;25;True;02.02.2016 8:35:39;;0;;
41;16;13;22;True;02.02.2016 8:35:40;;0;;
42;49;10;19;True;02.02.2016 8:35:40;;0;;
43;88;7;16;True;02.02.2016 8:35:40;;0;;
44;127;4;19;True;02.02.2016 8:35:40;;0;;
45;159;1;28;True;02.02.2016 8:35:40;;0;;
46;162;1;34;True;02.02.2016 8:35:40;;0;;
47;156;2;37;True;02.02.2016 8:35:41;;0;;
48;126;5;40;True;02.02.2016 8:35:41;;0;;
49;47;11;40;True;02.02.2016 8:35:41;;0;;
50;14;14;37;True;02.02.2016 8:35:41;;0;;
51;5;15;34;True;02.02.2016 8:35:41;;0;;
52;2;15;28;True;02.02.2016 8:35:41;;0;;
53;25;12;19;True;02.02.2016 8:35:41;;0;;
54;61;9;16;True;02.02.2016 8:35:42;;0;;
55;81;8;29;True;02.02.2016 8:35:42;;0;;
56;107;6;27;True;02.02.2016 8:35:42;;0;;
57;83;8;33;True;02.02.2016 8:35:42;;0;;
58;53;10;27;True;02.02.2016 8:35:42;;0;;
59;65;9;24;True;02.02.2016 8:35:42;;0;;
