œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;03.02.2016 14:45:55;;3242;Á‡‰ÂÎ ÚÓÒ;
2;82;8;31;True;03.02.2016 14:45:58;;3242;;
3;67;9;28;True;03.02.2016 14:46:00;;3242;;
4;79;8;25;True;03.02.2016 14:46:00;;3242;;
5;109;6;31;True;03.02.2016 14:46:01;;3242;;
6;55;10;31;True;03.02.2016 14:46:01;;3242;;
7;106;6;25;True;03.02.2016 14:46:01;;3242;;
8;120;5;28;True;03.02.2016 14:46:01;;3242;;
9;97;7;34;True;03.02.2016 14:46:01;;3242;;
10;70;9;34;True;03.02.2016 14:46:02;;3242;;
11;41;11;28;True;03.02.2016 14:46:02;;3242;;
12;52;10;25;True;03.02.2016 14:46:03;;3242;;
13;85;8;37;True;03.02.2016 14:46:03;;3242;;
14;44;11;34;True;03.02.2016 14:46:03;;3242;;
15;31;12;31;True;03.02.2016 14:46:04;;3242;;
16;28;12;25;True;03.02.2016 14:46:40;;3242;‚ÍÌ‚ÍÌ‚Í;
17;64;9;22;False;03.02.2016 14:46:45;;0;„ˇÁÌ˚È;
18;91;7;22;True;03.02.2016 14:47:32;;3242;;
19;130;4;25;True;03.02.2016 14:47:35;;3242;;
20;133;4;31;True;03.02.2016 14:47:35;;3242;;
21;123;5;34;True;03.02.2016 14:47:35;;3242;;
22;76;8;19;True;03.02.2016 14:47:35;;3242;;
23;117;5;22;True;03.02.2016 14:47:35;;3242;;
24;142;3;28;True;03.02.2016 14:47:35;;3242;;
25;145;3;34;True;03.02.2016 14:47:36;;3242;;
26;112;6;37;True;03.02.2016 14:47:36;;3242;;
27;58;10;37;True;03.02.2016 14:47:36;;3242;;
28;22;13;34;True;03.02.2016 14:47:36;;3242;;
29;19;13;28;True;03.02.2016 14:47:36;;3242;;
30;38;11;22;True;03.02.2016 14:47:36;;3242;;
31;103;6;19;True;03.02.2016 14:47:36;;3242;;
32;139;3;22;True;03.02.2016 14:47:37;;3242;;
33;150;2;25;True;03.02.2016 14:47:37;;3242;;
34;153;2;31;True;03.02.2016 14:47:37;;3242;;
35;136;4;37;True;03.02.2016 14:47:37;;3242;;
36;100;7;40;True;03.02.2016 14:47:39;;3242;;
37;73;9;40;True;03.02.2016 14:49:41;;5365;Ô‚Â‚‡;
38;34;12;37;True;03.02.2016 14:50:49;;5365;ÍÓÒˇÍ ;
39;11;14;31;True;03.02.2016 14:50:17;;5365;;
40;8;14;25;True;03.02.2016 14:50:18;;5365;;
41;16;13;22;True;03.02.2016 14:50:18;;5365;;
42;49;10;19;True;03.02.2016 14:50:18;;5365;;
43;88;7;16;True;03.02.2016 14:50:19;;5365;;
44;127;4;19;True;03.02.2016 14:50:19;;5365;;
45;159;1;28;True;03.02.2016 14:50:20;;5365;;
46;162;1;34;True;03.02.2016 14:52:13;;5365;;
47;156;2;37;True;03.02.2016 14:52:13;;5365;;
48;126;5;40;True;03.02.2016 14:52:13;;5365;;
49;47;11;40;True;03.02.2016 14:52:13;;5365;;
50;14;14;37;True;03.02.2016 14:52:13;;5365;;
51;5;15;34;True;03.02.2016 14:52:14;;5365;;
52;2;15;28;True;03.02.2016 14:52:14;;5365;;
53;25;12;19;True;03.02.2016 14:52:14;;5365;;
54;61;9;16;True;03.02.2016 14:52:14;;5365;;
55;81;8;29;True;03.02.2016 14:52:14;;5365;;
56;107;6;27;True;03.02.2016 14:52:14;;5365;;
57;83;8;33;True;03.02.2016 14:52:14;;5365;;
58;53;10;27;True;03.02.2016 14:52:15;;5365;;
59;65;9;24;True;03.02.2016 14:52:15;;5365;;
60;92;7;24;True;03.02.2016 14:52:15;;5365;;
61;121;5;30;True;03.02.2016 14:52:15;;5365;;
62;110;6;33;True;03.02.2016 14:52:15;;5365;;
63;56;10;33;True;03.02.2016 14:52:15;;5365;;
64;42;11;30;True;03.02.2016 14:52:15;;5365;;
65;29;12;27;True;03.02.2016 14:52:16;;5365;;
66;39;11;24;True;03.02.2016 14:52:16;;5365;;
67;77;8;21;True;03.02.2016 14:52:16;;5365;;
68;118;5;24;True;03.02.2016 14:52:16;;5365;;
69;131;4;27;True;03.02.2016 14:52:16;;5365;;
70;134;4;33;True;03.02.2016 14:52:16;;5365;;
71;98;7;36;True;03.02.2016 14:52:17;;5365;;
72;71;9;36;True;03.02.2016 14:52:17;;5365;;
73;32;12;33;True;03.02.2016 14:52:17;;5365;;
74;20;13;30;True;03.02.2016 14:52:17;;5365;;
75;17;13;24;True;03.02.2016 14:52:17;;5365;;
76;50;10;21;True;03.02.2016 14:52:17;;5365;;
77;104;6;21;True;03.02.2016 14:52:17;;5365;;
78;140;3;24;True;03.02.2016 14:52:18;;5365;;
79;143;3;30;True;03.02.2016 14:52:18;;5365;;
80;124;5;36;True;03.02.2016 14:52:18;;5365;;
81;86;8;39;True;03.02.2016 14:52:18;;5365;;
82;45;11;36;True;03.02.2016 14:52:18;;5365;;
83;23;13;36;True;03.02.2016 14:52:18;;5365;;
84;12;14;33;True;03.02.2016 14:52:18;;5365;;
85;9;14;27;True;03.02.2016 14:52:19;;5365;;
86;26;12;21;True;03.02.2016 14:52:19;;5365;;
87;62;9;18;True;03.02.2016 14:52:19;;5365;;
88;89;7;18;True;03.02.2016 14:52:19;;5365;;
89;128;4;21;True;03.02.2016 14:52:19;;5365;;
90;151;2;27;True;03.02.2016 14:52:19;;5365;;
91;154;2;33;True;03.02.2016 14:52:20;;5365;;
92;146;3;36;True;03.02.2016 14:52:20;;5365;;
93;113;6;39;True;03.02.2016 14:52:20;;5365;;
94;59;10;39;True;03.02.2016 14:52:20;;5365;;
95;35;12;39;True;03.02.2016 14:52:20;;5365;;
96;3;15;30;True;03.02.2016 14:52:20;;5365;;
97;36;11;18;True;03.02.2016 14:52:20;;5365;;
98;115;5;18;True;03.02.2016 14:52:21;;5365;;
99;160;1;30;True;03.02.2016 14:52:21;;5365;;
100;137;4;39;True;03.02.2016 14:52:21;;5365;;
101;101;7;42;True;03.02.2016 14:52:21;;5365;;
102;74;9;42;True;03.02.2016 14:52:21;;5365;;
103;0;15;24;True;03.02.2016 14:52:21;;5365;;
104;6;14;21;True;03.02.2016 14:52:21;;5365;;
105;95;7;30;True;03.02.2016 14:52:22;;5365;;
106;68;9;30;True;03.02.2016 14:52:22;;5365;;
107;80;8;27;True;03.02.2016 14:52:22;;5365;;
