ÏÎÐ‗ÄÊÎÂÛÉ ÍÎÌÅÐ ÇÀÃÐÓÇÊÈ; ÍÎÌÅÐ ÒÂÑ; ÊÎÎÐÄÈÍÀÒÀ X; ÊÎÎÐÄÈÍÀÒÀ Y; ÑÒÀÒÓÑ;  ÂÐÅÌ‗ ÇÀÃÐÓÇÊÈ; ÑÌÅÍÀ; ÏÎÂÛÑÎÒÍÀ‗ ÎÒÌÅÒÊÀ; ÇÀÌÅ×ÀÍÈÅ 
85;100;7;40;True;22.11.2014 14:35:53;אנגא;10897.5;;
86;146;3;36;True;22.11.2014 14:35:53;אנגא;10897.5;;
87;154;2;33;True;22.11.2014 14:35:53;אנגא;10897.5;;
88;150;2;25;True;22.11.2014 14:35:53;אנגא;10897.5;;
89;139;3;22;True;22.11.2014 14:35:53;אנגא;10897.5;;
90;118;5;24;True;22.11.2014 14:35:54;אנגא;10897.5;;
91;91;7;22;True;22.11.2014 14:35:54;אנגא;10897.5;;
92;64;9;22;True;22.11.2014 14:35:54;אנגא;10897.5;;
93;39;11;24;True;22.11.2014 14:35:54;אנגא;10897.5;;
94;29;12;27;True;22.11.2014 14:35:54;אנגא;10897.5;;
95;31;12;31;True;22.11.2014 14:35:54;אנגא;10897.5;;
96;44;11;34;True;22.11.2014 14:35:54;אנגא;10897.5;;
97;71;9;36;True;22.11.2014 14:35:54;אנגא;10897.5;;
98;98;7;36;True;22.11.2014 14:35:54;אנגא;10897.5;;
99;123;5;34;True;22.11.2014 14:35:55;אנגא;10897.5;;
100;133;4;31;True;22.11.2014 14:35:55;אנגא;10897.5;;
101;131;4;27;True;22.11.2014 14:35:55;אנגא;10897.5;;
102;106;6;25;True;22.11.2014 14:35:55;אנגא;10897.5;;
103;92;7;24;True;22.11.2014 14:35:56;אנגא;10897.5;;
104;65;9;24;True;22.11.2014 14:35:56;אנגא;10897.5;;
105;52;10;25;True;22.11.2014 14:35:56;אנגא;10897.5;;
106;41;11;28;True;22.11.2014 14:35:56;אנגא;10897.5;;
107;42;11;30;True;22.11.2014 14:35:56;אנגא;10897.5;;
108;56;10;33;True;22.11.2014 14:35:56;אנגא;10897.5;;
109;70;9;34;True;22.11.2014 14:35:57;אנגא;10897.5;;
110;97;7;34;True;22.11.2014 14:35:57;אנגא;10897.5;;
111;110;6;33;True;22.11.2014 14:35:57;אנגא;10897.5;;
112;121;5;30;True;22.11.2014 14:35:57;אנגא;10897.5;;
113;120;5;28;True;22.11.2014 14:35:57;אנגא;10897.5;;
114;128;4;21;True;22.11.2014 14:35:57;אנגא;10897.5;;
115;103;6;19;True;22.11.2014 14:35:57;אנגא;10897.5;;
116;49;10;19;True;22.11.2014 14:35:57;אנגא;10897.5;;
117;26;12;21;True;22.11.2014 14:35:57;אנגא;10897.5;;
118;9;14;27;True;22.11.2014 14:35:57;אנגא;10897.5;;
119;34;12;37;True;22.11.2014 14:35:58;אנגא;10897.5;;
120;59;10;39;True;22.11.2014 14:35:58;אנגא;10897.5;;
121;113;6;39;True;22.11.2014 14:35:58;אנגא;10897.5;;
122;136;4;37;True;22.11.2014 14:35:58;אנגא;10897.5;;
123;153;2;31;True;22.11.2014 14:35:58;אנגא;10897.5;;
124;151;2;27;True;22.11.2014 14:35:58;אנגא;10897.5;;
125;76;8;19;True;22.11.2014 14:35:58;אנגא;10897.5;;
126;17;13;24;True;22.11.2014 14:35:58;אנגא;10897.5;;
127;22;13;34;True;22.11.2014 14:35:58;אנגא;10897.5;;
128;86;8;39;True;22.11.2014 14:35:58;אנגא;10897.5;;
129;145;3;34;True;22.11.2014 14:35:58;אנגא;10897.5;;
130;140;3;24;True;22.11.2014 14:35:59;אנגא;10897.5;;
131;117;5;22;True;22.11.2014 14:35:59;אנגא;10897.5;;
132;50;10;21;True;22.11.2014 14:35:59;אנגא;10897.5;;
133;19;13;28;True;22.11.2014 14:35:59;אנגא;10897.5;;
134;45;11;36;True;22.11.2014 14:35:59;אנגא;10897.5;;
135;112;6;37;True;22.11.2014 14:35:59;אנגא;10897.5;;
136;143;3;30;True;22.11.2014 14:35:59;אנגא;10897.5;;
137;157;1;24;True;22.11.2014 14:35:59;אנגא;10897.5;;
138;148;2;21;True;22.11.2014 14:35:59;אנגא;10897.5;;
139;127;4;19;True;22.11.2014 14:35:59;אנגא;10897.5;;
140;115;5;18;True;22.11.2014 14:36:00;אנגא;10897.5;;
141;88;7;16;True;22.11.2014 14:36:00;אנגא;10897.5;;
142;61;9;16;True;22.11.2014 14:36:00;אנגא;10897.5;;
143;36;11;18;True;22.11.2014 14:36:00;אנגא;10897.5;;
144;25;12;19;True;22.11.2014 14:36:00;אנגא;10897.5;;
145;6;14;21;True;22.11.2014 14:36:00;אנגא;10897.5;;
